"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",0
"2",2011,"non_critical","MC","Low",0
"3",2011,"critical","MC","Low",0
"4",2012,"non_critical","MC","Low",0
"5",2012,"critical","MC","Low",0
"6",2013,"non_critical","MC","Low",0
"7",2013,"critical","MC","Low",0
"8",2014,"non_critical","MC","Low",0
"9",2014,"critical","MC","Low",0
"10",2015,"non_critical","MC","Low",0
"11",2015,"critical","MC","Low",0
"12",2016,"non_critical","MC","Low",0
"13",2016,"critical","MC","Low",0
"14",2017,"non_critical","MC","Low",0
"15",2017,"critical","MC","Low",0
"16",2010,"non_critical","LOB","Low",0
"17",2011,"non_critical","LOB","Low",0
"18",2011,"critical","LOB","Low",0
"19",2012,"non_critical","LOB","Low",0
"20",2012,"critical","LOB","Low",0
"21",2013,"non_critical","LOB","Low",0
"22",2013,"critical","LOB","Low",0
"23",2014,"non_critical","LOB","Low",0
"24",2014,"critical","LOB","Low",0
"25",2015,"non_critical","LOB","Low",0
"26",2015,"critical","LOB","Low",0
"27",2016,"non_critical","LOB","Low",0
"28",2016,"critical","LOB","Low",0
"29",2017,"non_critical","LOB","Low",0
"30",2017,"critical","LOB","Low",0
"31",2010,"non_critical","ROB","Low",0
"32",2011,"non_critical","ROB","Low",0
"33",2011,"critical","ROB","Low",0
"34",2012,"non_critical","ROB","Low",0
"35",2012,"critical","ROB","Low",0
"36",2013,"non_critical","ROB","Low",0
"37",2013,"critical","ROB","Low",0
"38",2014,"non_critical","ROB","Low",0
"39",2014,"critical","ROB","Low",0
"40",2015,"non_critical","ROB","Low",0
"41",2015,"critical","ROB","Low",0
"42",2016,"non_critical","ROB","Low",0
"43",2016,"critical","ROB","Low",0
"44",2017,"non_critical","ROB","Low",0
"45",2017,"critical","ROB","Low",0
"46",2010,"non_critical","MC","Medium",74.2183960126869
"47",2011,"non_critical","MC","Medium",91.2671232876712
"48",2011,"critical","MC","Medium",91.2671232876712
"49",2012,"non_critical","MC","Medium",91.2682149362477
"50",2012,"critical","MC","Medium",91.2682149362477
"51",2013,"non_critical","MC","Medium",95.1940639269406
"52",2013,"critical","MC","Medium",95.1940639269406
"53",2014,"non_critical","MC","Medium",94.703196347032
"54",2014,"critical","MC","Medium",94.703196347032
"55",2015,"non_critical","MC","Medium",94.7146118721461
"56",2015,"critical","MC","Medium",94.7146118721461
"57",2016,"non_critical","MC","Medium",92.5318761384335
"58",2016,"critical","MC","Medium",92.5318761384335
"59",2017,"non_critical","MC","Medium",89.3315018315018
"60",2017,"critical","MC","Medium",89.3315018315018
